anio,mes,VPU,fob_dolar,pos_ncm,sector,provincia,nombre_importador,primer_periodo,ultimo_periodo
2025,11,Proyecto Rincón,11547.92,8421.39.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,11,Hombre Muerto Oeste (HMW),212,8515.90.00,Minería,Catamarca,RIGI - GALAN LITIO SDE        ,202511,202607
2025,11,Parque Solar El Quemado y Anexos,406.56,8483.30.90,Energía,Mendoza,RIGI - LUZ DEL CAMPO S. A.    ,202501,202607
2025,11,Proyecto de Licuefacción de Gas Natural (FLNG - Southern Energy),78250.77,7305.11.00,Petróleo y Gas,Río Negro,RIGI - SOUTHERN ENERGY S. A.  ,202511,202603
2025,11,Parque Eólico Olavarría,249697.21,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),9870944,9406.90.20,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),2123.64,9013.20.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),97.85,9031.80.99,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),329.58,6805.10.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),3442.3,8207.90.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),11.29,8523.52.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Vaca Muerta Oleoducto Sur (VMOS),48.92,8204.11.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2025,12,Parque Eólico Olavarría,249947.21,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2025,9,Parque Solar El Quemado y Anexos,52640,8535.40.90,Energía,Mendoza,RIGI - LUZ DEL CAMPO S. A.    ,202501,202607
2025,10,Proyecto Rincón,715680,8421.29.20,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,12,Parque Eólico Olavarría,250447.21,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2025,10,Proyecto Rincón,9748.9,7326.20.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,10,Proyecto Rincón,905.2,8483.60.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,10,Parque Solar El Quemado y Anexos,20748.72,8479.90.90,Energía,Mendoza,RIGI - LUZ DEL CAMPO S. A.    ,202501,202607
2025,9,Parque Solar El Quemado y Anexos,971943.93,8504.23.00,Energía,Mendoza,RIGI - LUZ DEL CAMPO S. A.    ,202501,202607
2025,9,Proyecto Rincón,93.5,8487.90.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,10,Parque Solar El Quemado y Anexos,1178.69,7318.15.00,Energía,Mendoza,RIGI - LUZ DEL CAMPO S. A.    ,202501,202607
2025,10,Proyecto Rincón,143,8481.90.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2025,11,Parque Solar El Quemado y Anexos,88523.25,9027.20.11,Energía,Mendoza,RIGI - LUZ DEL CAMPO S. A.    ,202501,202607
2026,2,Proyecto Rincón,1174,7307.91.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,452.88,7307.91.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,9995.7,7307.91.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,5661.04,7326.90.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,745.99,8483.10.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,5771.19,8474.90.00,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,3534.73,9026.90.10,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Parque Eólico Olavarría,36055.49,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,5800.31,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,6836.31,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,26134.4,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,15509.16,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,31801.74,7208.51.00,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,41219.76,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,80378.53,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Parque Eólico Olavarría,66278.18,7308.90.90,Energía,Buenos Aires,RIGI - GENERACION ELECTRICA AR,202511,202607
2026,2,Proyecto Rincón,16089.92,8479.82.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,2,Proyecto Rincón,16320.23,7326.90.90,Minería,Salta,RIGI - RINCON MINING PTY LIMIT,202507,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),612894,7309.00.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),847789.65,7309.00.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),99202.83,7309.00.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),59680.99,7309.00.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),32068.29,3917.40.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),1477.83,3917.40.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),458.3,3917.40.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),46489.5,7309.00.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),87897.41,7309.00.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),130.07,3917.40.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),1131.63,7412.20.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),17958.51,8544.49.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,1,Vaca Muerta Oleoducto Sur (VMOS),9387.39,3917.40.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),1316.5,8609.00.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),1998,8609.00.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),700.87,3917.21.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),1999.67,8609.00.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),14951.8,7304.39.10,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),2458.06,7304.39.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),131885.92,7307.91.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),8751.95,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),18779.97,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),1625.81,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),10751.4,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),46.81,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),655.34,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),93.55,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),302.86,7307.93.00,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),173194.31,7304.39.10,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
2026,2,Vaca Muerta Oleoducto Sur (VMOS),1722.78,7304.31.90,Petróleo y Gas,Río Negro,RIGI - VMOS S. A.             ,202505,202607
